(1, 1, 1, 1, 1);ב;(1, 1, 1, 1, 1)
(1, 1, 1, 2, 2);ר;(1, 1, 1, 2, 2)
(1, 1, 1, 3, 3);א;(1, 1, 1, 3, 3)
(1, 1, 1, 4, 4);ש;(1, 1, 1, 4, 4)
(1, 1, 1, 5, 5);י;(1, 1, 1, 5, 5)
(1, 1, 1, 6, 6);ת;(1, 1, 1, 6, 6)
(1, 1, 1, 7, 7);ב;(1, 1, 1, 7, 7)
(1, 1, 1, 8, 8);ר;(1, 1, 1, 8, 8)
(1, 1, 1, 9, 9);א;(1, 1, 1, 9, 9)
(1, 1, 1, 10, 10);א;(1, 1, 1, 10, 10)
(1, 1, 1, 11, 11);ל;(1, 1, 1, 11, 11)
(1, 1, 1, 12, 12);ה;(1, 1, 1, 12, 12)
(1, 1, 1, 13, 13);י;(1, 1, 1, 13, 13)
(1, 1, 1, 14, 14);ם;(1, 1, 1, 14, 14)
(1, 1, 1, 15, 15);א;(1, 1, 1, 15, 15)
(1, 1, 1, 16, 16);ת;(1, 1, 1, 16, 16)
(1, 1, 1, 17, 17);ה;(1, 1, 1, 17, 17)
(1, 1, 1, 18, 18);ש;(1, 1, 1, 18, 18)
(1, 1, 1, 19, 19);מ;(1, 1, 1, 19, 19)
(1, 1, 1, 20, 20);י;(1, 1, 1, 20, 20)
(1, 1, 1, 21, 21);ם;(1, 1, 1, 21, 21)
(1, 1, 1, 22, 22);ו;(1, 1, 1, 22, 22)
(1, 1, 1, 23, 23);א;(1, 1, 1, 23, 23)
(1, 1, 1, 24, 24);ת;(1, 1, 1, 24, 24)
(1, 1, 1, 25, 25);ה;(1, 1, 1, 25, 25)
(1, 1, 1, 26, 26);א;(1, 1, 1, 26, 26)
(1, 1, 1, 27, 27);ר;(1, 1, 1, 27, 27)
(1, 1, 1, 28, 28);ץ;(1, 1, 1, 28, 28)
(1, 1, 2, 1, 29);ו;(1, 1, 2, 1, 29)
(1, 1, 2, 2, 30);ה;(1, 1, 2, 2, 30)
(1, 1, 2, 3, 31);א;(1, 1, 2, 3, 31)
(1, 1, 2, 4, 32);ר;(1, 1, 2, 4, 32)
(1, 1, 2, 5, 33);ץ;(1, 1, 2, 5, 33)
(1, 1, 2, 6, 34);ה;(1, 1, 2, 6, 34)
(1, 1, 2, 7, 35);י;(1, 1, 2, 7, 35)
(1, 1, 2, 8, 36);ת;(1, 1, 2, 8, 36)
(1, 1, 2, 9, 37);ה;(1, 1, 2, 9, 37)
(1, 1, 2, 10, 38);ת;(1, 1, 2, 10, 38)
(1, 1, 2, 11, 39);ה;(1, 1, 2, 11, 39)
(1, 1, 2, 12, 40);ו;(1, 1, 2, 12, 40)
(1, 1, 2, 13, 41);ו;(1, 1, 2, 13, 41)
(1, 1, 2, 14, 42);ב;(1, 1, 2, 14, 42)
(1, 1, 2, 15, 43);ה;(1, 1, 2, 15, 43)
(1, 1, 2, 16, 44);ו;(1, 1, 2, 16, 44)
(1, 1, 2, 17, 45);ו;(1, 1, 2, 17, 45)
(1, 1, 2, 18, 46);ח;(1, 1, 2, 18, 46)
(1, 1, 2, 19, 47);ש;(1, 1, 2, 19, 47)
(1, 1, 2, 20, 48);ך;(1, 1, 2, 20, 48)
(1, 1, 2, 21, 49);ע;(1, 1, 2, 21, 49)
(1, 1, 2, 22, 50);ל;(1, 1, 2, 22, 50)
(1, 1, 2, 23, 51);פ;(1, 1, 2, 23, 51)
(1, 1, 2, 24, 52);נ;(1, 1, 2, 24, 52)
(1, 1, 2, 25, 53);י;(1, 1, 2, 25, 53)
(1, 1, 2, 26, 54);ת;(1, 1, 2, 26, 54)
(1, 1, 2, 27, 55);ה;(1, 1, 2, 27, 55)
(1, 1, 2, 28, 56);ו;(1, 1, 2, 28, 56)
(1, 1, 2, 29, 57);ם;(1, 1, 2, 29, 57)
(1, 1, 2, 30, 58);ו;(1, 1, 2, 30, 58)
(1, 1, 2, 31, 59);ר;(1, 1, 2, 31, 59)
(1, 1, 2, 32, 60);ו;(1, 1, 2, 32, 60)
(1, 1, 2, 33, 61);ח;(1, 1, 2, 33, 61)
(1, 1, 2, 34, 62);א;(1, 1, 2, 34, 62)
(1, 1, 2, 35, 63);ל;(1, 1, 2, 35, 63)
(1, 1, 2, 36, 64);ה;(1, 1, 2, 36, 64)
(1, 1, 2, 37, 65);י;(1, 1, 2, 37, 65)
(1, 1, 2, 38, 66);ם;(1, 1, 2, 38, 66)
(1, 1, 2, 39, 67);מ;(1, 1, 2, 39, 67)
(1, 1, 2, 40, 68);ר;(1, 1, 2, 40, 68)
(1, 1, 2, 41, 69);ח;(1, 1, 2, 41, 69)
(1, 1, 2, 42, 70);פ;(1, 1, 2, 42, 70)
(1, 1, 2, 43, 71);ת;(1, 1, 2, 43, 71)
(1, 1, 2, 44, 72);ע;(1, 1, 2, 44, 72)
(1, 1, 2, 45, 73);ל;(1, 1, 2, 45, 73)
(1, 1, 2, 46, 74);פ;(1, 1, 2, 46, 74)
(1, 1, 2, 47, 75);נ;(1, 1, 2, 47, 75)
(1, 1, 2, 48, 76);י;(1, 1, 2, 48, 76)
(1, 1, 2, 49, 77);ה;(1, 1, 2, 49, 77)
(1, 1, 2, 50, 78);מ;(1, 1, 2, 50, 78)
(1, 1, 2, 51, 79);י;(1, 1, 2, 51, 79)
(1, 1, 2, 52, 80);ם;(1, 1, 2, 52, 80)
(1, 1, 3, 1, 81);ו;(1, 1, 3, 1, 81)
(1, 1, 3, 2, 82);י;(1, 1, 3, 2, 82)
(1, 1, 3, 3, 83);א;(1, 1, 3, 3, 83)
(1, 1, 3, 4, 84);מ;(1, 1, 3, 4, 84)
(1, 1, 3, 5, 85);ר;(1, 1, 3, 5, 85)
(1, 1, 3, 6, 86);א;(1, 1, 3, 6, 86)
(1, 1, 3, 7, 87);ל;(1, 1, 3, 7, 87)
(1, 1, 3, 8, 88);ה;(1, 1, 3, 8, 88)
(1, 1, 3, 9, 89);י;(1, 1, 3, 9, 89)
(1, 1, 3, 10, 90);ם;(1, 1, 3, 10, 90)
(1, 1, 3, 11, 91);י;(1, 1, 3, 11, 91)
(1, 1, 3, 12, 92);ה;(1, 1, 3, 12, 92)
(1, 1, 3, 13, 93);י;(1, 1, 3, 13, 93)
(1, 1, 3, 14, 94);א;(1, 1, 3, 14, 94)
(1, 1, 3, 15, 95);ו;(1, 1, 3, 15, 95)
(1, 1, 3, 16, 96);ר;(1, 1, 3, 16, 96)
(1, 1, 3, 17, 97);ו;(1, 1, 3, 17, 97)
(1, 1, 3, 18, 98);י;(1, 1, 3, 18, 98)
(1, 1, 3, 19, 99);ה;(1, 1, 3, 19, 99)
(1, 1, 3, 20, 100);י;(1, 1, 3, 20, 100)
(1, 1, 3, 21, 101);א;(1, 1, 3, 21, 101)
(1, 1, 3, 22, 102);ו;(1, 1, 3, 22, 102)
(1, 1, 3, 23, 103);ר;(1, 1, 3, 23, 103)
(1, 1, 4, 1, 104);ו;(1, 1, 4, 1, 104)
(1, 1, 4, 2, 105);י;(1, 1, 4, 2, 105)
(1, 1, 4, 3, 106);ר;(1, 1, 4, 3, 106)
(1, 1, 4, 4, 107);א;(1, 1, 4, 4, 107)
(1, 1, 4, 5, 108);א;(1, 1, 4, 5, 108)
(1, 1, 4, 6, 109);ל;(1, 1, 4, 6, 109)
(1, 1, 4, 7, 110);ה;(1, 1, 4, 7, 110)
(1, 1, 4, 8, 111);י;(1, 1, 4, 8, 111)
(1, 1, 4, 9, 112);ם;(1, 1, 4, 9, 112)
(1, 1, 4, 10, 113);א;(1, 1, 4, 10, 113)
(1, 1, 4, 11, 114);ת;(1, 1, 4, 11, 114)
(1, 1, 4, 12, 115);ה;(1, 1, 4, 12, 115)
(1, 1, 4, 13, 116);א;(1, 1, 4, 13, 116)
(1, 1, 4, 14, 117);ו;(1, 1, 4, 14, 117)
(1, 1, 4, 15, 118);ר;(1, 1, 4, 15, 118)
(1, 1, 4, 16, 119);כ;(1, 1, 4, 16, 119)
(1, 1, 4, 17, 120);י;(1, 1, 4, 17, 120)
(1, 1, 4, 18, 121);ט;(1, 1, 4, 18, 121)
(1, 1, 4, 19, 122);ו;(1, 1, 4, 19, 122)
(1, 1, 4, 20, 123);ב;(1, 1, 4, 20, 123)
(1, 1, 4, 21, 124);ו;(1, 1, 4, 21, 124)
(1, 1, 4, 22, 125);י;(1, 1, 4, 22, 125)
(1, 1, 4, 23, 126);ב;(1, 1, 4, 23, 126)
(1, 1, 4, 24, 127);ד;(1, 1, 4, 24, 127)
(1, 1, 4, 25, 128);ל;(1, 1, 4, 25, 128)
(1, 1, 4, 26, 129);א;(1, 1, 4, 26, 129)
(1, 1, 4, 27, 130);ל;(1, 1, 4, 27, 130)
(1, 1, 4, 28, 131);ה;(1, 1, 4, 28, 131)
(1, 1, 4, 29, 132);י;(1, 1, 4, 29, 132)
(1, 1, 4, 30, 133);ם;(1, 1, 4, 30, 133)
(1, 1, 4, 31, 134);ב;(1, 1, 4, 31, 134)
(1, 1, 4, 32, 135);י;(1, 1, 4, 32, 135)
(1, 1, 4, 33, 136);ן;(1, 1, 4, 33, 136)
(1, 1, 4, 34, 137);ה;(1, 1, 4, 34, 137)
(1, 1, 4, 35, 138);א;(1, 1, 4, 35, 138)
(1, 1, 4, 36, 139);ו;(1, 1, 4, 36, 139)
(1, 1, 4, 37, 140);ר;(1, 1, 4, 37, 140)
(1, 1, 4, 38, 141);ו;(1, 1, 4, 38, 141)
(1, 1, 4, 39, 142);ב;(1, 1, 4, 39, 142)
(1, 1, 4, 40, 143);י;(1, 1, 4, 40, 143)
(1, 1, 4, 41, 144);ן;(1, 1, 4, 41, 144)
(1, 1, 4, 42, 145);ה;(1, 1, 4, 42, 145)
(1, 1, 4, 43, 146);ח;(1, 1, 4, 43, 146)
(1, 1, 4, 44, 147);ש;(1, 1, 4, 44, 147)
(1, 1, 4, 45, 148);ך;(1, 1, 4, 45, 148)
(1, 1, 5, 1, 149);ו;(1, 1, 5, 1, 149)
(1, 1, 5, 2, 150);י;(1, 1, 5, 2, 150)
(1, 1, 5, 3, 151);ק;(1, 1, 5, 3, 151)
(1, 1, 5, 4, 152);ר;(1, 1, 5, 4, 152)
(1, 1, 5, 5, 153);א;(1, 1, 5, 5, 153)
(1, 1, 5, 6, 154);א;(1, 1, 5, 6, 154)
(1, 1, 5, 7, 155);ל;(1, 1, 5, 7, 155)
(1, 1, 5, 8, 156);ה;(1, 1, 5, 8, 156)
(1, 1, 5, 9, 157);י;(1, 1, 5, 9, 157)
(1, 1, 5, 10, 158);ם;(1, 1, 5, 10, 158)
(1, 1, 5, 11, 159);ל;(1, 1, 5, 11, 159)
(1, 1, 5, 12, 160);א;(1, 1, 5, 12, 160)
(1, 1, 5, 13, 161);ו;(1, 1, 5, 13, 161)
(1, 1, 5, 14, 162);ר;(1, 1, 5, 14, 162)
(1, 1, 5, 15, 163);י;(1, 1, 5, 15, 163)
(1, 1, 5, 16, 164);ו;(1, 1, 5, 16, 164)
(1, 1, 5, 17, 165);ם;(1, 1, 5, 17, 165)
(1, 1, 5, 18, 166);ו;(1, 1, 5, 18, 166)
(1, 1, 5, 19, 167);ל;(1, 1, 5, 19, 167)
(1, 1, 5, 20, 168);ח;(1, 1, 5, 20, 168)
(1, 1, 5, 21, 169);ש;(1, 1, 5, 21, 169)
(1, 1, 5, 22, 170);ך;(1, 1, 5, 22, 170)
(1, 1, 5, 23, 171);ק;(1, 1, 5, 23, 171)
(1, 1, 5, 24, 172);ר;(1, 1, 5, 24, 172)
(1, 1, 5, 25, 173);א;(1, 1, 5, 25, 173)
(1, 1, 5, 26, 174);ל;(1, 1, 5, 26, 174)
(1, 1, 5, 27, 175);י;(1, 1, 5, 27, 175)
(1, 1, 5, 28, 176);ל;(1, 1, 5, 28, 176)
(1, 1, 5, 29, 177);ה;(1, 1, 5, 29, 177)
(1, 1, 5, 30, 178);ו;(1, 1, 5, 30, 178)
(1, 1, 5, 31, 179);י;(1, 1, 5, 31, 179)
(1, 1, 5, 32, 180);ה;(1, 1, 5, 32, 180)
(1, 1, 5, 33, 181);י;(1, 1, 5, 33, 181)
(1, 1, 5, 34, 182);ע;(1, 1, 5, 34, 182)
(1, 1, 5, 35, 183);ר;(1, 1, 5, 35, 183)
(1, 1, 5, 36, 184);ב;(1, 1, 5, 36, 184)
(1, 1, 5, 37, 185);ו;(1, 1, 5, 37, 185)
(1, 1, 5, 38, 186);י;(1, 1, 5, 38, 186)
(1, 1, 5, 39, 187);ה;(1, 1, 5, 39, 187)
(1, 1, 5, 40, 188);י;(1, 1, 5, 40, 188)
(1, 1, 5, 41, 189);ב;(1, 1, 5, 41, 189)
(1, 1, 5, 42, 190);ק;(1, 1, 5, 42, 190)
(1, 1, 5, 43, 191);ר;(1, 1, 5, 43, 191)
(1, 1, 5, 44, 192);י;(1, 1, 5, 44, 192)
(1, 1, 5, 45, 193);ו;(1, 1, 5, 45, 193)
(1, 1, 5, 46, 194);ם;(1, 1, 5, 46, 194)
(1, 1, 5, 47, 195);א;(1, 1, 5, 47, 195)
(1, 1, 5, 48, 196);ח;(1, 1, 5, 48, 196)
(1, 1, 5, 49, 197);ד;(1, 1, 5, 49, 197)
(1, 1, 6, 1, 198);ו;(1, 1, 6, 1, 198)
(1, 1, 6, 2, 199);י;(1, 1, 6, 2, 199)
(1, 1, 6, 3, 200);א;(1, 1, 6, 3, 200)
(1, 1, 6, 4, 201);מ;(1, 1, 6, 4, 201)
(1, 1, 6, 5, 202);ר;(1, 1, 6, 5, 202)
(1, 1, 6, 6, 203);א;(1, 1, 6, 6, 203)
(1, 1, 6, 7, 204);ל;(1, 1, 6, 7, 204)
(1, 1, 6, 8, 205);ה;(1, 1, 6, 8, 205)
(1, 1, 6, 9, 206);י;(1, 1, 6, 9, 206)
(1, 1, 6, 10, 207);ם;(1, 1, 6, 10, 207)
(1, 1, 6, 11, 208);י;(1, 1, 6, 11, 208)
(1, 1, 6, 12, 209);ה;(1, 1, 6, 12, 209)
(1, 1, 6, 13, 210);י;(1, 1, 6, 13, 210)
(1, 1, 6, 14, 211);ר;(1, 1, 6, 14, 211)
(1, 1, 6, 15, 212);ק;(1, 1, 6, 15, 212)
(1, 1, 6, 16, 213);י;(1, 1, 6, 16, 213)
(1, 1, 6, 17, 214);ע;(1, 1, 6, 17, 214)
(1, 1, 6, 18, 215);ב;(1, 1, 6, 18, 215)
(1, 1, 6, 19, 216);ת;(1, 1, 6, 19, 216)
(1, 1, 6, 20, 217);ו;(1, 1, 6, 20, 217)
(1, 1, 6, 21, 218);ך;(1, 1, 6, 21, 218)
(1, 1, 6, 22, 219);ה;(1, 1, 6, 22, 219)
(1, 1, 6, 23, 220);מ;(1, 1, 6, 23, 220)
(1, 1, 6, 24, 221);י;(1, 1, 6, 24, 221)
(1, 1, 6, 25, 222);ם;(1, 1, 6, 25, 222)
(1, 1, 6, 26, 223);ו;(1, 1, 6, 26, 223)
(1, 1, 6, 27, 224);י;(1, 1, 6, 27, 224)
(1, 1, 6, 28, 225);ה;(1, 1, 6, 28, 225)
(1, 1, 6, 29, 226);י;(1, 1, 6, 29, 226)
(1, 1, 6, 30, 227);מ;(1, 1, 6, 30, 227)
(1, 1, 6, 31, 228);ב;(1, 1, 6, 31, 228)
(1, 1, 6, 32, 229);ד;(1, 1, 6, 32, 229)
(1, 1, 6, 33, 230);י;(1, 1, 6, 33, 230)
(1, 1, 6, 34, 231);ל;(1, 1, 6, 34, 231)
(1, 1, 6, 35, 232);ב;(1, 1, 6, 35, 232)
(1, 1, 6, 36, 233);י;(1, 1, 6, 36, 233)
(1, 1, 6, 37, 234);ן;(1, 1, 6, 37, 234)
(1, 1, 6, 38, 235);מ;(1, 1, 6, 38, 235)
(1, 1, 6, 39, 236);י;(1, 1, 6, 39, 236)
(1, 1, 6, 40, 237);ם;(1, 1, 6, 40, 237)
(1, 1, 6, 41, 238);ל;(1, 1, 6, 41, 238)
(1, 1, 6, 42, 239);מ;(1, 1, 6, 42, 239)
(1, 1, 6, 43, 240);י;(1, 1, 6, 43, 240)
(1, 1, 6, 44, 241);ם;(1, 1, 6, 44, 241)
(1, 1, 7, 1, 242);ו;(1, 1, 7, 1, 242)
(1, 1, 7, 2, 243);י;(1, 1, 7, 2, 243)
(1, 1, 7, 3, 244);ע;(1, 1, 7, 3, 244)
(1, 1, 7, 4, 245);ש;(1, 1, 7, 4, 245)
(1, 1, 7, 5, 246);א;(1, 1, 7, 5, 246)
(1, 1, 7, 6, 247);ל;(1, 1, 7, 6, 247)
(1, 1, 7, 7, 248);ה;(1, 1, 7, 7, 248)
(1, 1, 7, 8, 249);י;(1, 1, 7, 8, 249)
